#  z        dl        sig_dl
0.50309 2734.57601  158.76574
0.49480 2667.10430  144.52929
0.67767 4545.06397  430.41465
0.86650 5240.46711  419.63203
0.79857 5273.51275  423.49266
0.37144 2030.34575  116.42957
0.35582 1827.38477  106.43213
0.28360 1354.65904   64.14267
0.46640 3113.65149  227.59927
0.94688 5398.95863  408.32605
0.69315 4067.14822  457.93514
0.89693 5377.12336  412.24722
0.78904 4940.37596  263.62098
0.59027 3289.12213  252.39394
0.21075  952.77423   46.18873
0.85852 4728.68081  321.91289
0.55875 3040.60496  186.96710
0.99640 6164.95626  399.81270
0.58294 3301.94625  191.32626
0.79656 4177.24550  305.53744
0.91348 5318.51024  336.46709
0.94846 6072.25498  422.46882
0.73362 4165.04790  298.79408
0.76560 4694.72329  334.95414
0.98341 6540.33509  460.90919
0.70064 3979.60529  318.57648
0.83814 4796.22999  399.19224
0.37060 1896.79327  105.80059
0.35858 1745.54078   95.35394
0.52278 3032.70383  197.86570
0.70198 3911.10972  472.97257
0.74613 4084.32225  309.74597
0.59185 3151.95494  183.28854
0.62063 3566.81020  185.80891
1.00279 7344.46220  647.31013
0.61064 3509.37679  214.82208
0.35833 1753.39595   92.26992
0.45155 2153.67417  124.14659
0.55260 2799.17467  173.08851
0.75068 4004.97676  353.35081
0.82269 5213.38742  351.18811
0.95076 6123.92693  408.57561
0.34052 1734.84229   84.34167
0.81072 4633.40219  363.97844
0.61124 3961.32067  290.65628
0.54831 2682.37813  177.66538
1.02879 6248.56080  460.92565
0.42244 2095.80079  115.06684
0.70115 4283.01899  356.08292
0.68517 4157.19121  445.38301
0.93189 5748.96944  403.41904
0.74909 4093.64332  344.58099
0.46840 2491.78175  135.25817
0.95886 6476.34536  514.41916
0.84053 4948.91506  331.89087
0.56276 3151.80979  170.65011
0.82854 5365.00338  377.09300
0.57875 3126.00739  173.71658
0.86450 5294.92728  356.68086
0.85851 5480.75009  417.41508
0.58575 3663.36338  239.09681
0.48881 2648.86607  138.59969
0.68866 3738.00605  261.35794
0.32454 1617.07439   76.15830
0.18538  873.29304   41.85294
0.68196 3711.16275  253.66926
0.92223 5260.17266  413.82031
0.42866 2513.04346  149.78151
0.69998 4370.28742  433.38908
0.57584 3365.03821  214.58872
0.51176 2968.99865  159.31617
0.64191 3752.40754  286.73474
0.35157 1974.42208  103.30998
0.34957 1900.59683   96.86466
0.35527 1983.03327  103.21252
0.87217 5224.44306  320.52961
0.92624 6364.14403  320.54036
0.41957 2334.47915  130.05283
0.89073 4853.77902  314.89139
0.48057 2541.20675  134.72223
0.58060 3338.64313  247.27487
0.80569 4668.20587  334.35231
0.66464 3773.46217  280.00093
0.74566 4481.98089  315.23394
0.73669 4033.57373  259.91518
0.37053 1816.14283   94.48441
0.85073 5172.85137  310.69304
0.21946 1045.63473   49.26966
0.64764 3759.93208  279.34333
0.60060 3391.87626  241.45319
0.76070 4315.68760  298.07147
0.47057 2575.13499  144.82369
0.49737 2725.83774  166.04263
0.50736 2780.35339  160.46304
0.58728 3457.40296  223.82304
0.69915 4034.68840  290.55732
0.76108 4579.62587  338.23839
0.78805 4692.23765  298.57595
0.40547 2305.68514  117.29774
0.80804 5773.90987  434.68921
0.58328 3729.23713  222.52630
0.72013 4513.56811  401.96488
0.83699 5141.38351  337.93090
0.80603 5022.03806  424.92579
0.50074 2884.69565  180.63552
0.53378 2734.63898  209.71919
0.82212 4825.25201  411.72018
0.12531  554.21720   26.43346
0.44368 2316.48771  143.93482
0.68366 4353.31407  582.49214
0.72668 4265.89341  319.88092
0.40455 2183.98675  108.13901
0.69065 3986.02483  337.35821
0.57661 3153.11638  178.49079
0.72068 4219.78185  394.36284
0.55031 3045.29942  175.19285
0.84797 5153.47294  402.93382
0.43544 2105.47457  105.70619
0.30158 1508.30788   65.23483
0.58073 3586.82345  226.66687
0.34593 1875.21039   95.87313
0.33094 1609.08876   79.19148
0.44956 2557.34900  166.49828
0.29172 1394.53687   80.51527
0.46127 2376.23835  150.76674
0.63222 3820.58618  359.78334
0.26862 1216.85828   55.65615
0.92491 6285.21300  556.70256
0.62522 3483.61378  209.07319
0.60825 3352.27779  195.47789
0.57828 3143.83685  201.20672
0.71963 4121.44966  390.48848
0.76660 5005.06820  367.23977
0.36791 1990.26085   93.41317
0.84852 5204.15233  356.07919
0.77660 4664.87488  383.21019
0.58375 3189.48086  145.65877
0.58873 3237.20349  193.91182
0.76859 4915.41284  382.28301
0.51380 2988.75283  182.95274
0.63771 3341.95040  358.50352
0.43487 2303.88077  121.50368
0.58375 3489.07255  225.39112
0.66206 3978.78068  329.04807
0.62189 3405.33624  255.35145
0.41664 2254.65450  122.07495
0.45169 2101.50293  133.28702
0.73401 4567.83071  506.10345
0.74202 5041.38657  499.59178
0.34957 1577.61127   87.19773
0.51476 3073.90188  191.84621
0.64364 3728.29270  333.66199
